,06J37,basinwide_average
1908-10-01,-999.0,-999.9
1908-11-01,-999.0,-999.9
1908-12-01,-999.0,-999.9
1909-01-01,-999.0,-999.9
1909-02-01,-999.0,-999.9
1909-03-01,-999.0,-999.9
1909-04-01,-999.0,-999.9
1909-05-01,-999.0,-999.9
1909-06-01,-999.0,-999.9
1909-07-01,-999.0,-999.9
1909-08-01,-999.0,-999.9
1909-09-01,-999.0,-999.9
1909-10-01,-999.0,-999.9
1909-11-01,-999.0,-999.9
1909-12-01,-999.0,-999.9
1910-01-01,-999.0,-999.9
1910-02-01,-999.0,-999.9
1910-03-01,-999.0,-999.9
1910-04-01,-999.0,-999.9
1910-05-01,-999.0,-999.9
1910-06-01,-999.0,-999.9
1910-07-01,-999.0,-999.9
1910-08-01,-999.0,-999.9
1910-09-01,-999.0,-999.9
1910-10-01,-999.0,-999.9
1910-11-01,-999.0,-999.9
1910-12-01,-999.0,-999.9
1911-01-01,-999.0,-999.9
1911-02-01,-999.0,-999.9
1911-03-01,-999.0,-999.9
1911-04-01,-999.0,-999.9
1911-05-01,-999.0,-999.9
1911-06-01,-999.0,-999.9
1911-07-01,-999.0,-999.9
1911-08-01,-999.0,-999.9
1911-09-01,-999.0,-999.9
1911-10-01,-999.0,-999.9
1911-11-01,-999.0,-999.9
1911-12-01,-999.0,-999.9
1912-01-01,-999.0,-999.9
1912-02-01,-999.0,-999.9
1912-03-01,-999.0,-999.9
1912-04-01,-999.0,-999.9
1912-05-01,-999.0,-999.9
1912-06-01,-999.0,-999.9
1912-07-01,-999.0,-999.9
1912-08-01,-999.0,-999.9
1912-09-01,-999.0,-999.9
1912-10-01,-999.0,-999.9
1912-11-01,-999.0,-999.9
1912-12-01,-999.0,-999.9
1913-01-01,-999.0,-999.9
1913-02-01,-999.0,-999.9
1913-03-01,-999.0,-999.9
1913-04-01,-999.0,-999.9
1913-05-01,-999.0,-999.9
1913-06-01,-999.0,-999.9
1913-07-01,-999.0,-999.9
1913-08-01,-999.0,-999.9
1913-09-01,-999.0,-999.9
1913-10-01,-999.0,-999.9
1913-11-01,-999.0,-999.9
1913-12-01,-999.0,-999.9
1914-01-01,-999.0,-999.9
1914-02-01,-999.0,-999.9
1914-03-01,-999.0,-999.9
1914-04-01,-999.0,-999.9
1914-05-01,-999.0,-999.9
1914-06-01,-999.0,-999.9
1914-07-01,-999.0,-999.9
1914-08-01,-999.0,-999.9
1914-09-01,-999.0,-999.9
1914-10-01,-999.0,-999.9
1914-11-01,-999.0,-999.9
1914-12-01,-999.0,-999.9
1915-01-01,-999.0,-999.9
1915-02-01,-999.0,-999.9
1915-03-01,-999.0,-999.9
1915-04-01,-999.0,-999.9
1915-05-01,-999.0,-999.9
1915-06-01,-999.0,-999.9
1915-07-01,-999.0,-999.9
1915-08-01,-999.0,-999.9
1915-09-01,-999.0,-999.9
1915-10-01,-999.0,-999.9
1915-11-01,-999.0,-999.9
1915-12-01,-999.0,-999.9
1916-01-01,-999.0,-999.9
1916-02-01,-999.0,-999.9
1916-03-01,-999.0,-999.9
1916-04-01,-999.0,-999.9
1916-05-01,-999.0,-999.9
1916-06-01,-999.0,-999.9
1916-07-01,-999.0,-999.9
1916-08-01,-999.0,-999.9
1916-09-01,-999.0,-999.9
1916-10-01,-999.0,-999.9
1916-11-01,-999.0,-999.9
1916-12-01,-999.0,-999.9
1917-01-01,-999.0,-999.9
1917-02-01,-999.0,-999.9
1917-03-01,-999.0,-999.9
1917-04-01,-999.0,-999.9
1917-05-01,-999.0,-999.9
1917-06-01,-999.0,-999.9
1917-07-01,-999.0,-999.9
1917-08-01,-999.0,-999.9
1917-09-01,-999.0,-999.9
1917-10-01,-999.0,-999.9
1917-11-01,-999.0,-999.9
1917-12-01,-999.0,-999.9
1918-01-01,-999.0,-999.9
1918-02-01,-999.0,-999.9
1918-03-01,-999.0,-999.9
1918-04-01,-999.0,-999.9
1918-05-01,-999.0,-999.9
1918-06-01,-999.0,-999.9
1918-07-01,-999.0,-999.9
1918-08-01,-999.0,-999.9
1918-09-01,-999.0,-999.9
1918-10-01,-999.0,-999.9
1918-11-01,-999.0,-999.9
1918-12-01,-999.0,-999.9
1919-01-01,-999.0,-999.9
1919-02-01,-999.0,-999.9
1919-03-01,-999.0,-999.9
1919-04-01,-999.0,-999.9
1919-05-01,-999.0,-999.9
1919-06-01,-999.0,-999.9
1919-07-01,-999.0,-999.9
1919-08-01,-999.0,-999.9
1919-09-01,-999.0,-999.9
1919-10-01,-999.0,-999.9
1919-11-01,-999.0,-999.9
1919-12-01,-999.0,-999.9
1920-01-01,-999.0,-999.9
1920-02-01,-999.0,-999.9
1920-03-01,-999.0,-999.9
1920-04-01,-999.0,-999.9
1920-05-01,-999.0,-999.9
1920-06-01,-999.0,-999.9
1920-07-01,-999.0,-999.9
1920-08-01,-999.0,-999.9
1920-09-01,-999.0,-999.9
1920-10-01,-999.0,-999.9
1920-11-01,-999.0,-999.9
1920-12-01,-999.0,-999.9
1921-01-01,-999.0,-999.9
1921-02-01,-999.0,-999.9
1921-03-01,-999.0,-999.9
1921-04-01,-999.0,-999.9
1921-05-01,-999.0,-999.9
1921-06-01,-999.0,-999.9
1921-07-01,-999.0,-999.9
1921-08-01,-999.0,-999.9
1921-09-01,-999.0,-999.9
1921-10-01,-999.0,-999.9
1921-11-01,-999.0,-999.9
1921-12-01,-999.0,-999.9
1922-01-01,-999.0,-999.9
1922-02-01,-999.0,-999.9
1922-03-01,-999.0,-999.9
1922-04-01,-999.0,-999.9
1922-05-01,-999.0,-999.9
1922-06-01,-999.0,-999.9
1922-07-01,-999.0,-999.9
1922-08-01,-999.0,-999.9
1922-09-01,-999.0,-999.9
1922-10-01,-999.0,-999.9
1922-11-01,-999.0,-999.9
1922-12-01,-999.0,-999.9
1923-01-01,-999.0,-999.9
1923-02-01,-999.0,-999.9
1923-03-01,-999.0,-999.9
1923-04-01,-999.0,-999.9
1923-05-01,-999.0,-999.9
1923-06-01,-999.0,-999.9
1923-07-01,-999.0,-999.9
1923-08-01,-999.0,-999.9
1923-09-01,-999.0,-999.9
1923-10-01,-999.0,-999.9
1923-11-01,-999.0,-999.9
1923-12-01,-999.0,-999.9
1924-01-01,-999.0,-999.9
1924-02-01,-999.0,-999.9
1924-03-01,-999.0,-999.9
1924-04-01,-999.0,-999.9
1924-05-01,-999.0,-999.9
1924-06-01,-999.0,-999.9
1924-07-01,-999.0,-999.9
1924-08-01,-999.0,-999.9
